,Quarter,Time,Tm,Detail,KAN,SDG
0,1.0,8:19,Chargers,Nate Kaeding 24 yard field goal,0,3
1,1.0,3:56,Chargers,LaDainian Tomlinson 5 yard rush (Nate Kaeding kick),0,10
2,2.0,11:10,Chiefs,Dave Rayner 21 yard field goal,3,10
3,2.0,6:55,Chargers,Nate Kaeding 51 yard field goal,3,13
4,2.0,1:20,Chiefs,Dave Rayner 25 yard field goal,6,13
5,2.0,0:00,Chargers,Nate Kaeding 38 yard field goal,6,16
6,3.0,5:28,Chiefs,Dave Rayner 41 yard field goal,9,16
7,3.0,1:50,Chiefs,Tony Gonzalez 22 yard pass from Damon Huard (Dave Rayner kick),16,16
8,4.0,11:46,Chiefs,Dwayne Bowe 51 yard pass from Damon Huard (Dave Rayner kick),23,16
9,4.0,7:24,Chiefs,Tyron Brackenridge 50 yard defensive fumble return (Dave Rayner kick),30,16
