,Quarter,Tm,Detail,NYJ,MIA
0,1.0,Jets,Carl Garrett 15 yard pass from Joe Namath (Pat Leahy kick),7,0
1,2.0,Dolphins,Benny Malone 8 yard rush (Garo Yepremian kick),7,7
2,3.0,Dolphins,Norm Bulaich 59 yard pass from Bob Griese,7,13
3,3.0,Dolphins,Freddie Solomon 50 yard punt return (Garo Yepremian kick),7,20
4,4.0,Dolphins,Norm Bulaich 7 yard pass from Bob Griese (Garo Yepremian kick),7,27
