,Quarter,Tm,Detail,CRD,GNB
0,2.0,Packers,Ted Fritsch 51 yard field goal,0,3
1,2.0,Cardinals,Elmer Angsman 2 yard rush (Pat Harder kick),7,3
2,3.0,Cardinals,Red Cochran 1 yard rush (Pat Harder kick),14,3
3,3.0,Packers,Tony Canadeo 7 yard rush (Ted Fritsch kick),14,10
