,Quarter,Tm,Detail,NWE,HOU
0,1.0,Patriots,Bob Windsor 5 yard pass from Jim Plunkett (Jeff White kick),7,0
1,1.0,Patriots,Jeff White 48 yard field goal,10,0
2,2.0,Patriots,Mack Herron 1 yard rush (Jeff White kick),17,0
3,2.0,Patriots,Reggie Rucker 8 yard pass from Jim Plunkett (Jeff White kick),24,0
4,3.0,Patriots,Jeff White 36 yard field goal,27,0
5,4.0,Patriots,"Safety, Kiner tackled Pastorini in end zone",29,0
6,4.0,Patriots,Jeff White 46 yard field goal,32,0
