,Quarter,Tm,Detail,SFO,NYG
0,1.0,Giants,Matt Bahr 35 yard field goal,0,3
1,1.0,49ers,Jerry Rice 73 yard pass from Steve Young (Mike Cofer kick),7,3
2,2.0,Giants,Ottis Anderson 1 yard rush (Matt Bahr kick),7,10
3,2.0,Giants,Matt Bahr 28 yard field goal,7,13
4,4.0,49ers,Steve Young 5 yard rush (Mike Cofer kick),14,13
5,4.0,Giants,Matt Bahr 35 yard field goal,14,16
