,Quarter,Time,Tm,Detail,TAM,ATL
0,1.0,9:52,Buccaneers,Roberto Aguayo 43 yard field goal,3,0
1,1.0,7:08,Falcons,Matt Bryant 34 yard field goal,3,3
2,1.0,0:11,Falcons,Mohamed Sanu 5 yard pass from Matt Ryan (Matt Bryant kick),3,10
3,2.0,10:25,Buccaneers,Brandon Myers 4 yard pass from Jameis Winston (Roberto Aguayo kick),10,10
4,2.0,1:45,Falcons,Matt Bryant 34 yard field goal,10,13
5,2.0,0:14,Buccaneers,Charles Sims 23 yard pass from Jameis Winston (Roberto Aguayo kick),17,13
6,3.0,12:54,Buccaneers,Austin Seferian-Jenkins 30 yard pass from Jameis Winston (Roberto Aguayo kick),24,13
7,3.0,5:12,Buccaneers,Mike Evans 45 yard pass from Jameis Winston (Roberto Aguayo kick),31,13
8,3.0,1:35,Falcons,Julio Jones 25 yard pass from Matt Ryan (Mohamed Sanu pass from Matt Ryan),31,21
9,4.0,4:55,Falcons,Matt Bryant 29 yard field goal,31,24
