,Quarter,Tm,Detail,ATL,RAM
0,1.0,Rams,David Lang 1 yard rush (Tony Zendejas kick),0,7
1,1.0,Rams,Todd Kinchen 61 yard punt return (Tony Zendejas kick),0,14
2,2.0,Falcons,Andre Rison 29 yard pass from Wade Wilson (Norm Johnson kick),7,14
3,2.0,Falcons,Norm Johnson 44 yard field goal,10,14
4,2.0,Falcons,Mike Pritchard 11 yard pass from Wade Wilson (Norm Johnson kick),17,14
5,2.0,Falcons,Norm Johnson 38 yard field goal,20,14
6,3.0,Rams,Tony Zendejas 24 yard field goal,20,17
7,4.0,Rams,David Lang 1 yard rush (Tony Zendejas kick),20,24
8,4.0,Rams,David Lang 37 yard rush (Tony Zendejas kick),20,31
9,4.0,Rams,Todd Kinchen 35 yard punt return (Tony Zendejas kick),20,38
10,4.0,Falcons,Michael Haynes 21 yard pass from Wade Wilson (Norm Johnson kick),27,38
