,Quarter,Tm,Detail,HOU,BAL
0,1.0,Oilers,Jesse Baker 20 yard defensive fumble return (Toni Fritsch kick),7,0
1,1.0,Colts,Don Hardeman 1 yard rush,7,6
2,2.0,Oilers,Earl Campbell 7 yard rush (Toni Fritsch kick),14,6
3,3.0,Oilers,Earl Campbell 20 yard rush (Toni Fritsch kick),21,6
4,3.0,Colts,Steve Mike-Mayer 34 yard field goal,21,9
5,3.0,Oilers,Earl Campbell 2 yard rush (Toni Fritsch kick),28,9
6,4.0,Colts,Don McCauley 3 yard pass from Greg Landry (Steve Mike-Mayer kick),28,16
