,Quarter,Time,Tm,Detail,GNB,CAR
0,2.0,13:44,Panthers,Wesley Walls 3 yard pass from Chris Weinke (John Kasay kick),0,7
1,2.0,8:26,Packers,Ryan Longwell 42 yard field goal,3,7
2,2.0,0:58,Packers,Ryan Longwell 46 yard field goal,6,7
3,3.0,12:20,Packers,Bill Schroeder 12 yard pass from Brett Favre (Antonio Freeman pass from Brett Favre ),14,7
4,3.0,8:30,Packers,Bubba Franks 6 yard pass from Brett Favre (Ryan Longwell kick),21,7
5,4.0,12:23,Packers,Corey Bradford 5 yard pass from Brett Favre (Ryan Longwell kick),28,7
