,Quarter,Tm,Detail,DET,RAM
0,1.0,Rams,Red Phillips 58 yard pass from Frank Ryan (Danny Villanueva kick),0,7
1,1.0,Rams,Danny Villanueva 13 yard field goal,0,10
2,2.0,Lions,Jim Ninowski 6 yard rush (Jim Martin kick),7,10
3,2.0,Rams,Frank Ryan 37 yard pass from Frank Ryan (Danny Villanueva kick),7,17
4,2.0,Lions,Dan Lewis 74 yard rush (Jim Martin kick),14,17
5,2.0,Lions,Jim Ninowski 13 yard rush (Jim Martin kick),21,17
6,2.0,Rams,Lamar Lundy 25 yard interception return (Danny Villanueva kick),21,24
7,2.0,Rams,Tommy Wilson 1 yard pass from Frank Ryan (Danny Villanueva kick),21,31
8,2.0,Rams,Danny Villanueva 32 yard field goal,21,34
9,3.0,Lions,Nick Pietrosante 24 yard rush (Jim Martin kick),28,34
10,4.0,Rams,Red Phillips 31 yard pass from Billy Wade (Danny Villanueva kick),28,41
11,4.0,Rams,Charley Britt 12 yard interception return (Danny Villanueva kick),28,48
12,4.0,Lions,Jim Ninowski 3 yard rush (Jim Martin kick),35,48
