,Quarter,Time,Tm,Detail,STL,CAR
0,2.0,,Rams,Jerome Bettis 2 yard rush (Steve McLaughlin kick),7,0
1,2.0,,Rams,Jessie Hester 23 yard pass from Chris Miller (Steve McLaughlin kick),14,0
2,2.0,,Panthers,John Kasay 45 yard field goal,14,3
3,3.0,5:46,Rams,Anthony Parker 28 yard defensive fumble return (Steve McLaughlin kick),21,3
4,3.0,5:46,Rams,Steve McLaughlin 34 yard field goal,24,3
5,4.0,5:46,Rams,Torin Dorn 24 yard interception return (Steve McLaughlin kick),31,3
6,4.0,5:46,Panthers,Kerry Collins 1 yard rush (John Kasay kick),31,10
