,Quarter,Tm,Detail,BAL,GNB
0,1.0,Colts,Lenny Moore 52 yard pass from Johnny Unitas (Lou Michaels kick),7,0
1,1.0,Packers,Paul Hornung 20 yard rush (Paul Hornung kick),7,7
2,2.0,Colts,Lenny Moore 4 yard rush (Lou Michaels kick),14,7
3,2.0,Packers,Paul Hornung 4 yard rush,14,13
4,2.0,Colts,John Mackey 40 yard pass from Johnny Unitas (Lou Michaels kick),21,13
5,3.0,Packers,Jim Taylor 23 yard rush (Paul Hornung kick),21,20
