,Quarter,Time,Tm,Detail,CLE,PIT
0,2.0,4:07,Steelers,Willie Parker 34 yard rush (Jeff Reed kick),0,7
1,2.0,0:32,Steelers,Byron Leftwich 8 yard rush (Jeff Reed kick),0,14
2,3.0,5:35,Steelers,Jeff Reed 22 yard field goal,0,17
3,4.0,9:41,Steelers,Gary Russell 3 yard rush (Jeff Reed kick),0,24
4,4.0,8:43,Steelers,Tyrone Carter interception in end zone (Jeff Reed kick),0,31
