,Quarter,Tm,Detail,STL,BAL
0,1.0,Cardinals,Ottis Anderson 4 yard rush (Neil O'Donoghue kick),7,0
1,3.0,Cardinals,Pat Tilley 10 yard pass from Jim Hart (Neil O'Donoghue kick),14,0
2,3.0,Cardinals,Neil O'Donoghue 30 yard field goal,17,0
3,4.0,Colts,Steve Mike-Mayer 35 yard field goal,17,3
4,4.0,Colts,Roger Carr 9 yard pass from Bert Jones (Steve Mike-Mayer kick),17,10
