,Quarter,Tm,Detail,CIN,BUF
0,1.0,Bengals,Horst Muhlmann 16 yard field goal,3,0
1,1.0,Bills,Bruce Alford 33 yard field goal,3,3
2,2.0,Bengals,Horst Muhlmann 30 yard field goal,6,3
3,2.0,Bills,Bruce Alford 24 yard field goal,6,6
4,3.0,Bills,Bruce Alford 35 yard field goal,6,9
5,3.0,Bills,Booker Edgerson 10 yard defensive fumble return (Bruce Alford kick),6,16
6,4.0,Bengals,Sam Wyche 9 yard rush (Horst Muhlmann kick),13,16
