,Quarter,Tm,Detail,CLE,CRD
0,1.0,Browns,Dante Lavelli 55 yard pass from Otto Graham (Lou Groza kick),7,0
1,1.0,Browns,Chick Jagade 3 yard rush (Lou Groza kick),14,0
2,1.0,Cardinals,Charley Trippi 11 yard pass from Jim Root (Pat Summerall kick),14,7
3,2.0,Browns,Ray Renfro 48 yard pass from Otto Graham,20,7
4,4.0,Browns,Dante Lavelli 34 yard pass from Otto Graham (Lou Groza kick),27,7
