,Quarter,Tm,Detail,DET,TAM
0,1.0,Lions,"Safety, English tackled Golsteyn in end zone",2,0
1,1.0,Lions,Eddie Murray 29 yard field goal,5,0
2,3.0,Lions,Eddie Murray 48 yard field goal,8,0
3,4.0,Lions,Eddie Murray 38 yard field goal,11,0
