,Quarter,Tm,Detail,SEA,DEN
0,1.0,Broncos,Rich Karlis 42 yard field goal,0,3
1,1.0,Broncos,Steve Watson 78 yard pass from Gary Kubiak (Rich Karlis kick),0,10
2,2.0,Broncos,Rich Karlis 25 yard field goal,0,13
3,2.0,Broncos,Gerald Willhite 24 yard rush (Rich Karlis kick),0,20
4,2.0,Seahawks,Byron Walker 50 yard pass from Dave Krieg (Norm Johnson kick),7,20
5,3.0,Broncos,Gary Kubiak 7 yard rush (Rich Karlis kick),7,27
6,3.0,Seahawks,David Hughes 1 yard rush (Norm Johnson kick),14,27
7,3.0,Seahawks,Pete Metzelaars 17 yard pass from Dave Krieg,20,27
8,4.0,Broncos,Rich Karlis 21 yard field goal,20,30
9,4.0,Broncos,Rich Karlis 38 yard field goal,20,33
10,4.0,Seahawks,Charle Young 11 yard pass from Dave Krieg (Norm Johnson kick),27,33
11,4.0,Broncos,"Safety, Jones tackled Krieg in end zone",27,35
12,4.0,Broncos,Rich Karlis 40 yard field goal,27,38
