,Quarter,Time,Tm,Detail,KAN,NOR
0,1.0,,Chiefs,Willie Davis 13 yard pass from Joe Montana (Lin Elliott kick),7,0
1,2.0,,Chiefs,Marcus Allen 1 yard rush (Lin Elliott kick),14,0
2,2.0,,Saints,Morten Andersen 48 yard field goal,14,3
3,2.0,,Chiefs,Lin Elliott 24 yard field goal,17,3
4,3.0,,Saints,Wesley Walls 12 yard pass from Jim Everett (Morten Andersen kick),17,10
5,3.0,,Chiefs,Lin Elliott 22 yard field goal,20,10
6,4.0,,Chiefs,Keith Cash 2 yard pass from Joe Montana (Lin Elliott kick),27,10
7,4.0,,Chiefs,Lin Elliott 27 yard field goal,30,10
8,4.0,,Saints,Derek Brown 14 yard pass from Jim Everett (Morten Andersen kick),30,17
