,Quarter,Tm,Detail,GNB,NYG
0,3.0,Giants,"Safety, Hinkle tackled in end zone",0,2
1,3.0,Packers,Tiny Engebretsen 22 yard field goal,3,2
2,3.0,Giants,Tuffy Leemans 75 yard rush (Ward Cuff kick),3,9
3,4.0,Giants,Mel Hein 50 yard interception return,3,15
