,Quarter,Tm,Detail,WAS,BAL
0,1.0,Redskins,Sam Baker 32 yard rush (Bill Dudley kick),7,0
1,1.0,Colts,Bert Rechichar 52 yard field goal,7,3
2,2.0,Colts,George Taliaferro 37 yard pass from Fred Enke (Buck McPhail kick),7,10
3,2.0,Redskins,Bill Dudley 35 yard field goal,10,10
4,3.0,Colts,George Taliaferro 16 yard rush (Buck McPhail kick),10,17
5,3.0,Colts,Bert Rechichar 28 yard field goal,10,20
6,4.0,Redskins,Charlie Justice 10 yard rush (Bill Dudley kick),17,20
7,4.0,Colts,John Huzvar 2 yard rush (Buck McPhail kick),17,27
