,Quarter,Time,Tm,Detail,WAS,ARI
0,1.0,,Redskins,Henry Ellard 46 yard pass from Gus Frerotte (Eddie Murray kick),7,0
1,1.0,,Cardinals,Greg Davis 24 yard field goal,7,3
2,2.0,,Cardinals,Aeneas Williams 28 yard interception return (Greg Davis kick),7,10
3,2.0,,Redskins,Eddie Murray 38 yard field goal,10,10
4,2.0,,Redskins,Eddie Murray 25 yard field goal,13,10
5,3.0,,Cardinals,Larry Centers 9 yard rush (Greg Davis kick),13,17
6,3.0,,Redskins,Coleman Bell 29 yard pass from Gus Frerotte (Eddie Murray kick),20,17
7,4.0,,Cardinals,Garrison Hearst 1 yard pass from Dave Krieg (Greg Davis kick),20,24
