,Quarter,Tm,Detail,GNB,NYG
0,1.0,Packers,Harry Jacunski 38 yard pass from Don Hutson (Don Hutson kick),7,0
1,1.0,Giants,Bill Paschal 16 yard pass from Tuffy Leemans (Ward Cuff kick),7,7
2,2.0,Packers,Tony Canadeo 12 yard pass from Andy Uram (Don Hutson kick),14,7
3,2.0,Packers,Don Hutson 17 yard pass from Tony Canadeo (Don Hutson kick),21,7
4,3.0,Giants,Bill Paschal 4 yard rush (Ward Cuff kick),21,14
5,4.0,Giants,Bill Paschal 1 yard rush (Ward Cuff kick),21,21
6,4.0,Packers,Don Hutson 12 yard pass from Tony Canadeo (Don Hutson kick),28,21
7,4.0,Packers,Tony Canadeo 35 yard rush (Don Hutson kick),35,21
