,Quarter,Tm,Detail,OAK,DEN
0,2.0,Broncos,Haven Moses 6 yard pass from Craig Morton (Jim Turner kick),0,7
1,3.0,Raiders,Errol Mann 33 yard field goal,3,7
2,4.0,Raiders,Errol Mann 22 yard field goal,6,7
3,4.0,Broncos,Otis Armstrong 1 yard rush (Jim Turner kick),6,14
