,Quarter,Tm,Detail,CHI,BKN
0,1.0,Bears,Hugh Gallarneau 42 yard pass from Sid Luckman (Lee Artoe kick),7,0
1,1.0,Bears,Harry Clarke 1 yard rush (Lee Artoe kick),14,0
2,2.0,Bears,Frank Maznicki 3 yard rush (Frank Maznicki kick),21,0
3,3.0,Bears,Hugh Gallarneau 3 yard rush (Lee Artoe kick),28,0
4,4.0,Bears,John Petty 1 yard rush (Frank Maznicki kick),35,0
