,Quarter,Tm,Detail,GNB,CHI
0,2,Bears,Walter Payton 1 yard rush (Bob Thomas kick),0,7
1,3,Bears,James Scott 35 yard pass from Mike Phipps (Bob Thomas kick),0,14
