,Quarter,Tm,Detail,NYG,PIT
0,1.0,Giants,Steve Thurlow 6 yard rush (Andy Stynchula kick),7,0
1,2.0,Steelers,Mike Clark 22 yard field goal,7,3
2,2.0,Giants,Joe Morrison 4 yard pass from Earl Morrall (Andy Stynchula kick),14,3
3,3.0,Steelers,Mike Clark 48 yard field goal,14,6
4,4.0,Giants,Bob Timberlake 43 yard field goal,17,6
5,4.0,Steelers,Dick Hoak 1 yard rush (Mike Clark kick),17,13
6,4.0,Giants,Aaron Thomas 29 yard pass from Earl Morrall,23,13
