,Quarter,Time,Tm,Detail,NYG,CAR
0,1.0,2:33,Panthers,Mike Tolbert 2 yard rush (Graham Gano kick),0,7
1,2.0,6:44,Panthers,Graham Gano 53 yard field goal,0,10
2,2.0,0:12,Panthers,Brandon LaFell 16 yard pass from Cam Newton (Graham Gano kick),0,17
3,3.0,11:35,Panthers,Brandon LaFell 20 yard pass from Cam Newton (Graham Gano kick),0,24
4,3.0,6:58,Panthers,Cam Newton 3 yard rush (Graham Gano kick),0,31
5,4.0,13:30,Panthers,Ted Ginn Jr. 47 yard pass from Cam Newton (Graham Gano kick),0,38
