,Quarter,Tm,Detail,DET,WAS
0,1.0,Redskins,Sam Baker 16 yard field goal,0,3
1,2.0,Redskins,Dick James 41 yard rush (Sam Baker kick),0,10
2,2.0,Lions,Bobby Layne 22 yard field goal,3,10
3,2.0,Redskins,Sam Baker 29 yard field goal,3,13
4,3.0,Lions,Gene Gedman 1 yard rush (Bobby Layne kick),10,13
5,4.0,Redskins,"Safety, Miller forced Lary out of end zone",10,15
6,4.0,Redskins,Sam Baker 27 yard field goal,10,18
7,4.0,Lions,Dave Middleton 10 yard pass from Bobby Layne (Bobby Layne kick),17,18
