,Quarter,Time,Tm,Detail,STL,NWE
0,1.0,8:49,Rams,Josh Brown 20 yard field goal,3,0
1,1.0,1:43,Patriots,BenJarvus Green-Ellis 2 yard rush (Stephen Gostkowski kick),3,7
2,2.0,14:14,Rams,Donnie Avery 69 yard pass from Marc Bulger (Josh Brown kick),10,7
3,2.0,1:49,Patriots,Stephen Gostkowski 30 yard field goal,10,10
4,2.0,0:00,Patriots,Stephen Gostkowski 27 yard field goal,10,13
5,3.0,8:03,Rams,Josh Brown 44 yard field goal,13,13
6,4.0,12:25,Rams,Josh Brown 25 yard field goal,16,13
7,4.0,8:22,Patriots,Stephen Gostkowski 41 yard field goal,16,16
8,4.0,3:13,Patriots,Kevin Faulk 15 yard pass from Matt Cassel (Stephen Gostkowski kick),16,23
