,Quarter,Time,Tm,Detail,IND,PHI
0,1.0,10:46,Colts,Mike Vanderjagt 45 yard field goal,3,0
1,1.0,2:40,Colts,Edgerrin James 1 yard rush (Mike Vanderjagt kick),10,0
2,1.0,0:02,Colts,Edgerrin James 62 yard rush (Mike Vanderjagt kick),17,0
3,2.0,13:21,Colts,Mike Vanderjagt 29 yard field goal,20,0
4,2.0,11:27,Colts,Marvin Harrison 5 yard pass from Peyton Manning (Mike Vanderjagt kick),27,0
5,2.0,1:27,Eagles,David Akers 48 yard field goal,27,3
6,2.0,0:00,Colts,Mike Vanderjagt 34 yard field goal,30,3
7,3.0,12:55,Colts,Terrence Wilkins 80 yard pass from Peyton Manning (Mike Vanderjagt kick),37,3
8,3.0,6:51,Colts,Edgerrin James 17 yard pass from Peyton Manning (Mike Vanderjagt kick),44,3
9,4.0,8:27,Eagles,Chad Lewis 6 yard pass from Donovan McNabb (David Akers kick),44,10
10,4.0,6:01,Eagles,Brandon Whiting 32 yard interception return (David Akers kick),44,17
