,Quarter,Tm,Detail,BOS,BKN
0,2,Dodgers,Ralph Kercheval 43 yard field goal,0,3
1,3,Redskins,Cliff Battles 75 yard rush,6,3
2,4,Dodgers,Paul Riblett 22 yard pass from Chris Cagle,6,10
