,Quarter,Time,Tm,Detail,DET,MIN
0,1.0,,Vikings,Robert Smith 22 yard rush (Eddie Murray kick),0,7
1,2.0,,Lions,Cory Schlesinger 1 yard pass from Scott Mitchell (Jason Hanson kick),7,7
2,2.0,,Vikings,Eddie Murray 21 yard field goal,7,10
3,2.0,,Vikings,Eddie Murray 28 yard field goal,7,13
4,4.0,,Lions,Herman Moore 1 yard pass from Scott Mitchell (Jason Hanson kick),14,13
