,Quarter,Tm,Detail,DAL,STL
0,1,Cardinals,Jim Otis 2 yard rush (Jim Bakken kick),0,7
1,2,Cowboys,Robert Newhouse 6 yard pass from Roger Staubach (Rafael Septien kick),7,7
2,2,Cardinals,Jim Otis 1 yard rush (Jim Bakken kick),7,14
3,3,Cowboys,Tony Hill 37 yard pass from Roger Staubach (Rafael Septien kick),14,14
4,3,Cowboys,Tony Hill 6 yard pass from Roger Staubach (Rafael Septien kick),21,14
5,4,Cardinals,Wayne Morris 1 yard pass from Jim Hart (Jim Bakken kick),21,21
6,OT,Cowboys,Rafael Septien 47 yard field goal,24,21
