,Quarter,Tm,Detail,KAN,MIN
0,1.0,Vikings,Fuad Reveiz 22 yard field goal,0,3
1,2.0,Vikings,Cris Carter 31 yard pass from Jim McMahon (Fuad Reveiz kick),0,10
2,2.0,Chiefs,Nick Lowery 42 yard field goal,3,10
3,3.0,Vikings,Cris Carter 29 yard pass from Jim McMahon (Fuad Reveiz kick),3,17
4,3.0,Vikings,Fuad Reveiz 19 yard field goal,3,20
5,4.0,Vikings,Scottie Graham 6 yard rush (Fuad Reveiz kick),3,27
6,4.0,Vikings,Fuad Reveiz 34 yard field goal,3,30
7,4.0,Chiefs,Keith Cash 2 yard pass from Dave Krieg (Nick Lowery kick),10,30
