,Quarter,Time,Tm,Detail,DET,MIN
0,1.0,3:19,Vikings,Dewayne Washington 27 yard touchdown on a lateral (Scott Sisson kick),0,7
1,2.0,3:19,Lions,Herman Moore 17 yard pass from Scott Mitchell (Jason Hanson kick),7,7
2,2.0,3:19,Lions,Jason Hanson 24 yard field goal,10,7
3,4.0,3:19,Vikings,Scott Sisson 25 yard field goal,10,10
4,4.0,3:19,Lions,Jason Hanson 39 yard field goal,13,10
5,4.0,3:19,Vikings,Cris Carter 31 yard pass from Brad Johnson (Scott Sisson kick),13,17
