,Quarter,Time,Tm,Detail,BUF,NYJ
0,1.0,,Jets,Keyshawn Johnson 16 yard pass from Frank Reich (Nick Lowery kick),0,7
1,1.0,,Bills,Steve Christie 48 yard field goal,3,7
2,2.0,,Bills,Steve Christie 32 yard field goal,6,7
3,3.0,,Bills,Steve Christie 47 yard field goal,9,7
4,3.0,2:39,Jets,Keyshawn Johnson 9 yard pass from Frank Reich (Kyle Brady pass from Frank Reich),9,15
5,4.0,2:39,Bills,Steve Christie 23 yard field goal,12,15
6,4.0,2:39,Bills,Darick Holmes 1 yard rush (Steve Christie kick),19,15
7,4.0,2:39,Bills,Steve Christie 33 yard field goal,22,15
8,4.0,2:39,Jets,Wayne Chrebet 20 yard pass from Frank Reich (Nick Lowery kick),22,22
9,4.0,2:39,Bills,Steve Christie 47 yard field goal,25,22
