,Quarter,Tm,Detail,CIN,RAI
0,1.0,Bengals,Jim Breech 28 yard field goal,3,0
1,2.0,Bengals,Rodney Holman 14 yard pass from Boomer Esiason (Jim Breech kick),10,0
2,2.0,Bengals,Ickey Woods 3 yard rush (Jim Breech kick),17,0
3,2.0,Raiders,Tim Brown 65 yard pass from Jay Schroeder (Chris Bahr kick),17,7
4,2.0,Bengals,Tim McGee 9 yard pass from Boomer Esiason (Jim Breech kick),24,7
5,3.0,Bengals,Stanford Jennings 5 yard rush (Jim Breech kick),31,7
6,3.0,Bengals,Stanley Wilson 1 yard rush (Jim Breech kick),38,7
7,4.0,Bengals,Ira Hillary 15 yard pass from Boomer Esiason (Jim Breech kick),45,7
8,4.0,Raiders,Jay Schroeder 5 yard rush (Chris Bahr kick),45,14
9,4.0,Raiders,Mervyn Fernandez 24 yard pass from Jay Schroeder (Chris Bahr kick),45,21
