,Quarter,Tm,Detail,RAM,GNB
0,1,Packers,Ralph Earhart 64 yard pass from Jack Jacobs,0,6
1,2,Packers,Walt Schlinkman 3 yard rush (Ted Fritsch kick),0,13
2,3,Packers,Ted Fritsch 43 yard field goal,0,16
