,Quarter,Tm,Detail,DEN,SDG
0,1.0,Chargers,Mike Mercer 38 yard field goal,0,3
1,2.0,Broncos,Billy Masters 2 yard pass from Steve Tensi (Bobby Howfield kick),7,3
2,2.0,Chargers,Gary Garrison 31 yard pass from John Hadl (Mike Mercer kick),7,10
3,2.0,Chargers,Willie Frazier 5 yard pass from John Hadl (Mike Mercer kick),7,17
4,3.0,Broncos,Willis Crenshaw 3 yard rush (Bobby Howfield kick),14,17
5,4.0,Chargers,Gary Garrison 40 yard pass from John Hadl (Mike Mercer kick),14,24
6,4.0,Broncos,Bobby Anderson 2 yard rush (Bobby Howfield kick),21,24
