,Quarter,Time,Tm,Detail,CAR,STL
0,1.0,,Panthers,Wesley Walls 1 yard pass from Steve Beuerlein (John Kasay kick),7,0
1,2.0,,Panthers,Wesley Walls 13 yard pass from Steve Beuerlein (John Kasay kick),14,0
2,2.0,,Panthers,John Kasay 35 yard field goal,17,0
3,2.0,0:43,Rams,Jeff Robinson 4 yard pass from Steve Bono (Jeff Wilkins kick),17,7
4,3.0,0:43,Rams,Jerald Moore 7 yard rush (Jeff Wilkins kick),17,14
5,4.0,0:43,Panthers,Fred Lane 1 yard rush (John Kasay kick),24,14
6,4.0,0:43,Rams,Jeff Wilkins 39 yard field goal,24,17
7,4.0,0:43,Rams,Jeff Wilkins 41 yard field goal,24,20
