,Quarter,Time,Tm,Detail,CHI,NWE
0,2.0,9:07,Patriots,Laurence Maroney 1 yard rush (Stephen Gostkowski kick),0,7
1,2.0,4:04,Bears,Robbie Gould 46 yard field goal,3,7
2,2.0,0:01,Patriots,Stephen Gostkowski 52 yard field goal,3,10
3,4.0,14:53,Bears,Cedric Benson 2 yard rush (Robbie Gould kick),10,10
4,4.0,8:22,Patriots,Ben Watson 2 yard pass from Tom Brady (Stephen Gostkowski kick),10,17
5,4.0,3:31,Bears,Robbie Gould 32 yard field goal,13,17
