,Quarter,Tm,Detail,ATL,PHI
0,1.0,Eagles,Sam Baker 13 yard field goal,0,3
1,2.0,Eagles,Norm Snead 1 yard rush (Sam Baker kick),0,10
2,2.0,Falcons,Lou Kirouac 22 yard field goal,3,10
3,3.0,Eagles,Sam Baker 41 yard field goal,3,13
4,3.0,Falcons,Alex Hawkins 21 yard pass from Randy Johnson (Lou Kirouac kick),10,13
5,4.0,Eagles,Izzy Lang 1 yard rush (Sam Baker kick),10,20
6,4.0,Eagles,Sam Baker 12 yard field goal,10,23
