,Quarter,Tm,Detail,STL,DET
0,1.0,Cardinals,Terry Metcalf 14 yard rush (Jim Bakken kick),7,0
1,2.0,Cardinals,Dwayne Crump 64 yard blocked field goal return (Jim Bakken kick),14,0
2,3.0,Lions,Dexter Bussey 32 yard rush (Errol Mann kick),14,7
3,3.0,Cardinals,Jerry Latin 57 yard rush (Jim Bakken kick),21,7
4,4.0,Cardinals,Jim Bakken 24 yard field goal,24,7
5,4.0,Lions,Marlin Briscoe 23 yard pass from Joe Reed,24,13
