,Quarter,Tm,Detail,NYG,CIN
0,1.0,Bengals,Horst Muhlmann 27 yard field goal,0,3
1,2.0,Bengals,Horst Muhlmann 18 yard field goal,0,6
2,2.0,Giants,Pete Gogolak 15 yard field goal,3,6
3,3.0,Bengals,Bruce Coslet 3 yard pass from Ken Anderson (Horst Muhlmann kick),3,13
4,4.0,Giants,Don Herrmann 8 yard pass from Randy Johnson (Pete Gogolak kick),10,13
