,Quarter,Tm,Detail,NYJ,RAM
0,1.0,Rams,Pete Holohan 25 yard pass from Jim Everett (Mike Lansford kick),0,7
1,1.0,Jets,Jo-Jo Townsell 63 yard pass from Tony Eason (Pat Leahy kick),7,7
2,2.0,Rams,Greg Bell 1 yard rush (Mike Lansford kick),7,14
3,2.0,Rams,Flipper Anderson 43 yard pass from Jim Everett (Mike Lansford kick),7,21
4,2.0,Rams,Greg Bell 5 yard rush (Mike Lansford kick),7,28
5,4.0,Rams,Mike Lansford 37 yard field goal,7,31
6,4.0,Rams,Cleveland Gary 5 yard rush (Mike Lansford kick),7,38
7,4.0,Jets,Keith Neubert 35 yard pass from Ken O'Brien (Pat Leahy kick),14,38
