,Quarter,Tm,Detail,WAS,CRD
0,1.0,Redskins,Ed Bagdon 29 yard field goal,3,0
1,2.0,Redskins,Harry Dowda 2 yard pass from Sammy Baugh (Ed Bagdon kick),10,0
2,2.0,Redskins,Hugh Taylor 10 yard pass from Sammy Baugh (Ed Bagdon kick),17,0
3,3.0,Cardinals,Emil Sitko 8 yard rush (Joe Geri kick),17,7
4,4.0,Redskins,Sam Venuto 3 yard rush,23,7
