,Quarter,Tm,Detail,STL,NYJ
0,1.0,Jets,Pat Leahy 47 yard field goal,0,3
1,1.0,Cardinals,Terry Metcalf 52 yard rush (pass failed),6,3
2,1.0,Cardinals,Terry Metcalf 1 yard rush (Jim Bakken kick),13,3
3,1.0,Cardinals,Mel Gray 74 yard pass from Jim Hart (Jim Bakken kick),20,3
4,2.0,Jets,Pat Leahy 27 yard field goal,20,6
5,2.0,Cardinals,Jim Bakken 31 yard field goal,23,6
6,2.0,Cardinals,Mel Gray 20 yard pass from Jim Hart (Jim Bakken kick),30,6
7,3.0,Cardinals,Norm Thompson 61 yard interception return (Jim Bakken kick),37,6
