,Quarter,Tm,Detail,WAS,BUF
0,1.0,Bills,Andre Reed 65 yard pass from Jim Kelly (Steve Christie kick),0,7
1,1.0,Redskins,Reggie Brooks 7 yard rush (Chip Lohmiller kick),7,7
2,1.0,Bills,Bill Brooks 11 yard pass from Jim Kelly (Steve Christie kick),7,14
3,2.0,Redskins,Chip Lohmiller 19 yard field goal,10,14
4,3.0,Bills,Thurman Thomas 1 yard rush (Steve Christie kick),10,21
5,4.0,Bills,Steve Christie 45 yard field goal,10,24
