,Quarter,Tm,Detail,DAL,PHI
0,1.0,Eagles,Izzy Lang 17 yard rush (Sam Baker kick),0,7
1,2.0,Eagles,Gary Ballman 3 yard pass from Norm Snead (Sam Baker kick),0,14
2,2.0,Eagles,Tom Woodeshick 1 yard rush (Sam Baker kick),0,21
3,2.0,Cowboys,Lance Rentzel 15 yard pass from Craig Morton (Danny Villanueva kick),7,21
4,3.0,Cowboys,Bob Hayes 64 yard pass from Craig Morton (Danny Villanueva kick),14,21
