,Quarter,Tm,Detail,CHI,STL
0,1.0,Cardinals,Jim Bakken 49 yard field goal,0,3
1,1.0,Bears,Bob Thomas 23 yard field goal,3,3
2,2.0,Cardinals,Jim Bakken 36 yard field goal,3,6
3,2.0,Cardinals,J.V. Cain 17 yard pass from Jim Hart (Jim Bakken kick),3,13
4,3.0,Cardinals,Jim Bakken 41 yard field goal,3,16
5,3.0,Bears,Bob Thomas 29 yard field goal,6,16
6,4.0,Bears,Greg Latta 10 yard pass from Bob Avellini (Bob Thomas kick),13,16
