,Quarter,Time,Tm,Detail,CIN,KAN
0,1.0,9:39,Chiefs,Dave Rayner 32 yard field goal,0,3
1,1.0,7:39,Bengals,T.J. Houshmandzadeh 42 yard pass from Carson Palmer (Shayne Graham kick),7,3
2,1.0,0:53,Chiefs,Tony Gonzalez 3 yard pass from Damon Huard (Dave Rayner kick),7,10
3,2.0,6:27,Chiefs,Larry Johnson 8 yard rush (Dave Rayner kick),7,17
4,2.0,0:00,Chiefs,Dave Rayner 20 yard field goal,7,20
5,4.0,13:54,Bengals,Shayne Graham 33 yard field goal,10,20
6,4.0,8:03,Chiefs,Tony Gonzalez 26 yard pass from Damon Huard (Dave Rayner kick),10,27
7,4.0,5:03,Bengals,T.J. Houshmandzadeh 30 yard pass from Carson Palmer (Shayne Graham kick),17,27
8,4.0,0:18,Bengals,Shayne Graham 36 yard field goal,20,27
