,Quarter,Tm,Detail,CHI,TAM
0,2.0,Bears,Brad Muster 12 yard rush (Kevin Butler kick),7,0
1,2.0,Bears,Neal Anderson 1 yard rush (Kevin Butler kick),14,0
2,2.0,Bears,Kevin Butler 30 yard field goal,17,0
3,3.0,Bears,Dennis Gentry 19 yard pass from Jim Harbaugh,23,0
4,3.0,Bears,Kevin Butler 22 yard field goal,26,0
5,4.0,Buccaneers,Bruce Perkins 5 yard pass from Vinny Testaverde (run failed),26,6
