,Quarter,Time,Tm,Detail,TAM,MIN
0,1,,Buccaneers,Errict Rhett 1 yard rush (Michael Husted kick),7,0
1,2,,Vikings,Fuad Reveiz 23 yard field goal,7,3
2,2,,Vikings,Fuad Reveiz 21 yard field goal,7,6
3,2,,Buccaneers,Courtney Hawkins 14 yard pass from Craig Erickson (Michael Husted kick),14,6
4,2,,Vikings,Fuad Reveiz 51 yard field goal,14,9
5,4,,Buccaneers,Michael Husted 27 yard field goal,17,9
6,4,,Vikings,Qadry Ismail 40 yard pass from Warren Moon (Cris Carter pass from Warren Moon),17,17
7,OT,15:00,Buccaneers,Michael Husted 22 yard field goal,20,17
