,Quarter,Tm,Detail,NYG,GNB
0,1.0,Packers,Ken Ellis 100 yard field goal return (Dave Conway kick),0,7
1,2.0,Giants,Rich Houston 6 yard pass from Fran Tarkenton (Pete Gogolak kick),7,7
2,2.0,Giants,Rich Houston 39 yard pass from Fran Tarkenton (Pete Gogolak kick),14,7
3,2.0,Giants,Ralph Heck defensive fumble recovery in end zone (Pete Gogolak kick),21,7
4,2.0,Giants,Joe Green special teams fumble recovery in end zone (Pete Gogolak kick),28,7
5,2.0,Packers,Dave Hampton 19 yard pass from Zeke Bratkowski (Dave Conway kick),28,14
6,3.0,Packers,Lou Michaels 28 yard field goal,28,17
7,3.0,Giants,Rich Houston 81 yard pass from Fran Tarkenton (Pete Gogolak kick),35,17
8,3.0,Packers,Rich McGeorge 21 yard pass from Scott Hunter (Dave Conway kick),35,24
9,3.0,Giants,Tucker Frederickson 20 yard pass from Fran Tarkenton (Pete Gogolak kick),42,24
10,4.0,Packers,Donny Anderson 19 yard rush (Dave Conway kick),42,31
11,4.0,Packers,Carroll Dale 18 yard pass from Scott Hunter (Dave Conway kick),42,38
12,4.0,Packers,"Safety, Hart tackled Blanchard in end zone",42,40
