,Quarter,Time,Tm,Detail,ATL,MIA
0,1.0,9:02,Falcons,Maurice Smith 2 yard rush (Jay Feely kick),7,0
1,1.0,0:59,Dolphins,Brock Marion 26 yard interception return (Olindo Mare kick),7,7
2,2.0,1:02,Dolphins,Travis Minor 17 yard pass from Jay Fiedler (Olindo Mare kick),7,14
3,2.0,0:08,Dolphins,Oronde Gadsden 2 yard pass from Jay Fiedler (Olindo Mare kick),7,21
4,4.0,9:16,Falcons,Derek Rackley 1 yard pass from Michael Vick (Jay Feely kick),14,21
