,Quarter,Tm,Detail,CRD,WAS
0,1.0,Redskins,Andy Farkas 80 yard pass from Frank Filchock (Andy Farkas kick),0,7
1,2.0,Redskins,Andy Farkas unknown yard pass from Frank Filchock,0,13
2,3.0,Cardinals,Al Babartsky 61 yard fumble return (Bill Smith kick),7,13
3,3.0,Redskins,Jimmy Johnston unknown yard pass from Sammy Baugh,7,19
4,4.0,Redskins,Dick Todd unknown yard pass from Sammy Baugh,7,25
5,4.0,Redskins,Bo Russell 37 yard field goal,7,28
