,Quarter,Tm,Detail,WAS,STL
0,1.0,Cardinals,Terry Metcalf 48 yard pass from Jim Hart (Jim Bakken kick),0,7
1,1.0,Redskins,Mark Moseley 26 yard field goal,3,7
2,2.0,Redskins,Mark Moseley 49 yard field goal,6,7
3,3.0,Redskins,Mike Thomas 22 yard rush (Mark Moseley kick),13,7
4,4.0,Redskins,Mark Moseley 44 yard field goal,16,7
5,4.0,Cardinals,Jim Bakken 40 yard field goal,16,10
