,Quarter,Tm,Detail,NYJ,CLE
0,1,Browns,Calvin Hill 2 yard rush (Don Cockroft kick),0,7
1,2,Browns,Greg Pruitt 22 yard pass from Brian Sipe (Don Cockroft kick),0,14
2,2,Jets,Pat Leahy 45 yard field goal,3,14
3,2,Browns,Don Cockroft 26 yard field goal,3,17
4,2,Jets,Bruce Harper 3 yard pass from Matt Robinson (Pat Leahy kick),10,17
5,3,Browns,Don Cockroft 22 yard field goal,10,20
6,3,Browns,Brian Sipe 2 yard rush (Don Cockroft kick),10,27
7,4,Jets,Mickey Shuler 4 yard pass from Matt Robinson (Pat Leahy kick),17,27
8,4,Jets,Bruce Harper 20 yard pass from Matt Robinson (Pat Leahy kick),24,27
9,4,Jets,Pat Leahy 39 yard field goal,27,27
10,4,Jets,Kevin Long 1 yard rush (Pat Leahy kick),34,27
11,4,Browns,Calvin Hill 18 yard pass from Brian Sipe (Don Cockroft kick),34,34
12,OT,Browns,Don Cockroft 22 yard field goal,34,37
