,Quarter,Time,Tm,Detail,OAK,KAN
0,2.0,,Chiefs,Tony Richardson 1 yard pass from Steve Bono (Pete Stoyanovich kick),0,7
1,3.0,,Chiefs,James Hasty 80 yard defensive fumble return (Pete Stoyanovich kick),0,14
2,4.0,,Chiefs,Pete Stoyanovich 23 yard field goal,0,17
3,4.0,,Raiders,Cole Ford 38 yard field goal,3,17
4,4.0,13:39,Chiefs,"Safety, Saleaumua tackled Robbins in end zone",3,19
