,Quarter,Tm,Detail,NYJ,CLE
0,1,Jets,Wesley Walker 42 yard pass from Pat Ryan (Pat Leahy kick),7,0
1,1,Browns,Herman Fontenot 37 yard pass from Bernie Kosar (Mark Moseley kick),7,7
2,2,Browns,Mark Moseley 38 yard field goal,7,10
3,2,Jets,Pat Leahy 46 yard field goal,10,10
4,3,Jets,Pat Leahy 37 yard field goal,13,10
5,4,Jets,Freeman McNeil 25 yard rush (Pat Leahy kick),20,10
6,4,Browns,Kevin Mack 1 yard rush (Mark Moseley kick),20,17
7,4,Browns,Mark Moseley 22 yard field goal,20,20
8,OT,Browns,Mark Moseley 27 yard field goal,20,23
