,Quarter,Tm,Detail,FRN,CLE
0,1,Yellow Jackets,Jim Welsh unknown yard field goal,3,0
1,2,Yellow Jackets,Jim Welsh unknown yard field goal,6,0
2,3,Yellow Jackets,Tex Hamer unknown yard rush,12,0
3,4,Bulldogs,Dave Noble unknown yard rush (Hoge Workman kick),12,7
