,Quarter,Tm,Detail,CIN,WAS
0,1.0,Bengals,Archie Griffin 52 yard pass from Ken Anderson (Chris Bahr kick),7,0
1,1.0,Redskins,John Riggins 7 yard rush (Mark Moseley kick),7,7
2,1.0,Bengals,Pete Johnson 1 yard rush (Chris Bahr kick),14,7
3,2.0,Redskins,Clarence Harmon 7 yard pass from Joe Theismann (Mark Moseley kick),14,14
4,2.0,Redskins,Clarence Harmon 23 yard pass from Joe Theismann (Mark Moseley kick),14,21
5,4.0,Redskins,John Riggins 2 yard rush (Mark Moseley kick),14,28
