,Quarter,Tm,Detail,MIA,PIT
0,1.0,Steelers,Gerry Mullins offensive fumble recovery in end zone (Roy Gerela kick),0,7
1,2.0,Dolphins,Larry Csonka 9 yard pass from Earl Morrall (Garo Yepremian kick),7,7
2,3.0,Steelers,Roy Gerela 14 yard field goal,7,10
3,3.0,Dolphins,Jim Kiick 2 yard rush (Garo Yepremian kick),14,10
4,4.0,Dolphins,Jim Kiick 3 yard rush (Garo Yepremian kick),21,10
5,4.0,Steelers,Al Young 12 yard pass from Terry Bradshaw (Roy Gerela kick),21,17
